Method_ID,Label,Experiments
MI:0900,p8 filamentous phage display,1
MI:0916,lexa vp16 complementation,1
MI:2289,virotrap,1
MI:2318,force measurement,1
MI:2404,oxidase assay,1
MI:1036,nucleotide exchange assay,1
MI:0976,total internal reflection fluorescence spectroscopy,1
MI:0965,2d-infrared spectrometry,1
MI:1113,two hybrid bait and prey pooling approach,1
MI:1002,myristoylase assay,1
MI:1010,neddylase assay,1
MI:1006,deglycosylase assay,1
MI:0995,depalmitoylase assay,1
MI:1145,phospholipase assay,1
MI:1038,silicon nanowire field-effect transistor,1
MI:0514,in gel phosphatase assay,1
MI:1313,proximity labelling technology,1
MI:0256,rna interference,1
MI:0657,systematic evolution of ligands by exponential enrichment,1
MI:1342,qcmd,1
MI:0695,sandwich immunoassay,1
